experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
F_high_n_stress,swap,targeted_probe,64,25,55,0.8338485383258,0.7612370573206968,0.0,0.0,0.0,0.0,0.1359187466512404,0.0,0.07261148100510317,0.6460974711349103,0.6129440149825733,0.9223537014296888,0.16111664410899196,0.16111664410899196,-0.7085270234480459,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,swap,combined_repair,64,25,42,1.2024610628393932,0.8892309659735399,0.0,0.0,0.0,0.0,0.12475262762882211,0.0,0.31323009686585335,0.6460974711349103,0.6129440149825733,0.9223537014296888,0.033122735456148855,0.033122735456148855,-0.7085270234480459,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,swap,observable_repair,64,25,58,1.2453929694361956,0.7919214553024796,0.0,0.0,0.0,0.0,0.09557248927359434,0.0,0.453471514133716,0.6460974711349103,0.6129440149825733,0.9223537014296888,0.13043224612720916,0.13043224612720916,-0.7085270234480459,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,swap,random,64,25,54,0.3033943752868259,0.8302328154333728,0.0,0.0,0.0,0.0,0.2101509160814387,0.0,-0.5268384401465469,0.6460974711349103,0.6129440149825733,0.9223537014296888,0.09212088599631596,0.09212088599631596,-0.7085270234480459,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,swap,oracle,64,25,8,0.9223537014296888,0.9223537014296888,0.0,0.0,0.0,0.0,0.15592530721168857,0.0,0.0,0.6460974711349103,0.6129440149825733,0.9223537014296888,0.0,0.0,-0.7085270234480459,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,merge_split,raw,64,25,30,1.1450508429706001,0.0,1.0,1.0,1.0,0.0,0.20085647005494883,0.0,1.1450508429706001,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.9278226179426391,0.9278226179426391,-0.6768661133082086,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,merge_split,identity_consistent,64,25,7,1.006467014112,0.6482972471665586,0.0,0.0,0.0,1.0,0.7076816619441421,0.0,0.35816976694544145,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.27952537077608053,0.27952537077608053,-0.6768661133082086,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,merge_split,targeted_probe,64,25,4,0.7384978758854726,0.8541559436810908,0.0,0.0,0.0,0.0,0.13161352332961201,0.0,-0.11565806779561827,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.07366667426154827,0.07366667426154827,-0.6768661133082086,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,merge_split,combined_repair,64,25,13,1.2333189289561282,0.8057483186044323,0.0,0.0,0.0,0.0,0.11138172785432698,0.0,0.42757061035169586,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.1220742993382068,0.1220742993382068,-0.6768661133082086,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,merge_split,observable_repair,64,25,13,1.2164557863769103,0.8057483186044323,0.0,0.0,0.0,0.0,0.11138172785432698,0.0,0.410707467772478,0.6217078935672236,0.6150028484323702,0.9278226179426391,0.1220742993382068,0.1220742993382068,-0.6768661133082086,support_covered,False,True,fixed_predeclared,-1,0
