experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high
A_controlled_object_binding,raw,targeted_probe,1,16,0.6642585639368603,0.5404554780158135,0.7880616498579072,0.36397088780796794,0.17605649098166676,0.5518852846342691,0.5625,0.3114497062339898,0.8135502937660102,0.3125,0.07793035859969716,0.5470696414003029,0.1875,-0.01002531483331448,0.3850253148333145,0.1875,-0.01002531483331448,0.3850253148333145,0.275165208276685,0.16503317783363622,0.38529723871973376,0.5625,0.3114497062339898,0.8135502937660102,0.3002876761288924,0.1078398876990489,0.4927354645587359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_controlled_object_binding,raw,targeted_probe,2,16,0.758523799917658,0.6530138961121666,0.8640337037231492,0.4969283960808316,0.351148266517205,0.6427085256444582,0.375,0.13,0.62,0.3125,0.07793035859969716,0.5470696414003029,0.125,-0.042366862510673425,0.29236686251067345,0.0625,-0.06,0.185,0.20513269738747142,0.14175447951724623,0.2685109152576966,0.375,0.13,0.62,0.2615954038368264,0.02889438304606004,0.4942964246275927,0.14534578459657724,0.037490821270304106,0.25320074792285036,0.14534578459657724,0.037490821270304106,0.25320074792285036,0.0,0.0,0.0
A_controlled_object_binding,raw,targeted_probe,4,16,0.8919312521333607,0.8369633804722355,0.9468991237944858,0.5004834745818741,0.3142645457308968,0.6867024034328515,0.4375,0.18644970623398982,0.6885502937660102,0.375,0.13,0.62,0.25,0.03086533820502063,0.46913466179497937,0.125,-0.042366862510673425,0.29236686251067345,0.24952700623413737,0.1476692224987145,0.35138478996956024,0.4375,0.18644970623398982,0.6885502937660102,0.3914477775514865,0.1986358985661006,0.5842596565368725,0.27753462802301426,0.12010642953888334,0.4349628265071452,0.27753462802301426,0.12010642953888334,0.4349628265071452,0.0,0.0,0.0
A_controlled_object_binding,raw,targeted_probe,8,16,0.9814742232034718,0.9408383208861442,1.0221101255207994,0.48079843666557065,0.29961614198274855,0.6619807313483927,0.5,0.2469650880477821,0.753034911952218,0.375,0.13,0.62,0.125,-0.042366862510673425,0.29236686251067345,0.0,0.0,0.0,0.17576867608587007,0.1577123536863988,0.19382499848534135,0.5,0.2469650880477821,0.753034911952218,0.5006757865379011,0.30082509774255617,0.7005264753332461,0.3580000563558719,0.1884940326894366,0.5275060800223073,0.3580000563558719,0.1884940326894366,0.5275060800223073,0.0,0.0,0.0
A_controlled_object_binding,raw,targeted_probe,16,16,1.0446718599560199,1.0190551259754284,1.0702885939366114,0.21155316755620712,0.0739897006297646,0.3491166344826496,0.8125,0.6149746851666855,1.0100253148333145,0.5,0.2469650880477821,0.753034911952218,0.25,0.03086533820502063,0.46913466179497937,0.0,0.0,0.0,0.17184481962112824,0.14982642656664774,0.19386321267560874,0.8125,0.6149746851666855,1.0100253148333145,0.8331186923998128,0.6924949458324897,0.973742438967136,0.6504022438691752,0.5172033674315408,0.7836011203068096,0.6504022438691752,0.5172033674315408,0.7836011203068096,-0.44721766896853876,-0.6016762879930677,-0.2927590499440098
A_controlled_object_binding,raw,targeted_probe,32,16,1.0670246049612926,1.0388104122302182,1.095238797692367,0.5168405568369946,0.32387686358913004,0.7098042500848591,0.5,0.2469650880477821,0.753034911952218,0.375,0.13,0.62,0.0625,-0.06,0.185,0.0,0.0,0.0,0.16329095296448515,0.1417351816720728,0.1848467242568975,0.5,0.2469650880477821,0.753034911952218,0.550184048124298,0.35331042419719133,0.7470576720514046,0.37938711336629805,0.1927900378897168,0.5659841888428793,0.37938711336629805,0.1927900378897168,0.5659841888428793,-0.37803397468819055,-0.49290234523705484,-0.26316560413932627
A_controlled_object_binding,raw,targeted_probe,64,16,1.0987306456224597,1.074177450266779,1.1232838409781405,0.39089320975760816,0.21692365446898185,0.5648627650462344,0.6875,0.45293035859969716,0.9220696414003029,0.625,0.38,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.15097471062825624,0.1345670271725377,0.16738239408397476,0.6875,0.45293035859969716,0.9220696414003029,0.7078374358648517,0.5345701391874667,0.8811047325422368,0.5138855770254616,0.3447387947229132,0.6830323593280099,0.5138855770254616,0.3447387947229132,0.6830323593280099,-0.38421557779760157,-0.46273546044680297,-0.30569569514840017
A_controlled_object_binding,swap,combined_repair,1,16,0.8514595189366228,0.6914311061266134,1.011487931746632,0.5932229994865746,0.4309548539497191,0.7554911450234302,0.4375,0.18644970623398982,0.6885502937660102,0.3125,0.07793035859969716,0.5470696414003029,0.0,0.0,0.0,0.0,0.0,0.0,0.160323598046492,0.14628863799462555,0.17435855809835843,0.0,0.0,0.0,0.2582365194500481,0.19047798914946812,0.3259950497506281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_controlled_object_binding,swap,combined_repair,2,16,1.0548010895719422,0.9655738932289548,1.1440282859149296,0.7390250721932632,0.6259680539704933,0.8520820904160331,0.125,-0.042366862510673425,0.29236686251067345,0.125,-0.042366862510673425,0.29236686251067345,0.0,0.0,0.0,0.125,-0.042366862510673425,0.29236686251067345,0.23607589803622514,0.14319402658266733,0.32895776948978295,0.0,0.0,0.0,0.3157760173786789,0.28237999739119823,0.34917203736615954,0.032493015227600716,-0.0055588677730242925,0.07054489822822572,0.032493015227600716,-0.0055588677730242925,0.07054489822822572,0.0,0.0,0.0
A_controlled_object_binding,swap,combined_repair,4,16,1.1293414808638382,1.0836034537785872,1.1750795079490892,0.860171952349933,0.8344876190654665,0.8858562856343996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-0.06,0.185,0.1919930863046268,0.11804402451046239,0.26594214809879124,0.0,0.0,0.0,0.2691695285139053,0.2231188924982165,0.3152201645295941,0.017547050114900244,0.0040127519081126824,0.031081348321687803,0.017547050114900244,0.0040127519081126824,0.031081348321687803,0.0,0.0,0.0
