experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,hidden_property,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,hidden_property,2,identity_consistent,raw,16,0.11960288271313092,0.021481210946028395,0.21772455448023345,5,0,11,0.3125,0.0625,0.5972728702435635
A_controlled_object_binding,hidden_property,4,identity_consistent,raw,16,0.15210502906366666,0.0025236374139158135,0.3016864207134175,5,1,10,0.3125,0.21875,0.4982669529891408
A_controlled_object_binding,hidden_property,8,identity_consistent,raw,16,0.3582111019810015,0.23018533170265487,0.4862368722593481,12,0,4,0.75,0.00048828125,1.3710008507590095
A_controlled_object_binding,hidden_property,16,identity_consistent,raw,16,0.3434589537029046,0.2118944739111737,0.4750234334946355,12,0,4,0.75,0.00048828125,1.2791817942110004
A_controlled_object_binding,hidden_property,32,identity_consistent,raw,16,0.6097832720517624,0.552845319466528,0.6667212246369968,16,0,0,1.0,3.0517578125e-05,5.247708948755728
A_controlled_object_binding,hidden_property,64,identity_consistent,raw,16,0.575155772155842,0.4969981669612946,0.6533133773503894,16,0,0,1.0,3.0517578125e-05,3.6058721048943294
A_controlled_object_binding,merge_split,1,identity_consistent,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,merge_split,2,identity_consistent,raw,16,0.2098357290479192,0.0865402137732902,0.3331312443225482,9,0,7,0.5625,0.00390625,0.8339273898524189
A_controlled_object_binding,merge_split,4,identity_consistent,raw,16,0.35534503504654913,0.17696691580277996,0.5337231542903182,10,3,3,0.625,0.09228515625,0.9761234612798011
A_controlled_object_binding,merge_split,8,identity_consistent,raw,16,0.5896598075222992,0.5135796028562294,0.665740012188369,16,0,0,1.0,3.0517578125e-05,3.7977461674046347
