experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
A_controlled_object_binding,good,identity_consistent,8,13,1,0.9028689819328771,0.8063356927180529,0.0,0.0,0.0,0.0,0.1598226039469614,0.0,0.09653328921482418,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.1092734293081783,0.1092734293081783,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,8,13,1,0.6233168968779886,0.8063356927180529,0.0,0.0,0.0,0.0,0.1598226039469614,0.0,-0.1830187958400643,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.1092734293081783,0.1092734293081783,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,targeted_probe,8,13,1,0.7541928038922681,0.8063356927180529,0.0,0.0,0.0,0.0,0.1598226039469614,0.0,-0.05214288882578488,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.1092734293081783,0.1092734293081783,0.0,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,combined_repair,8,13,1,1.207191434157229,0.8063356927180529,0.0,0.0,0.0,0.0,0.1598226039469614,0.0,0.400855741439176,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.1092734293081783,0.1092734293081783,0.0,oracle_upper_bound,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,observable_repair,8,13,1,1.1943516412609319,0.8063356927180529,0.0,0.0,0.0,0.0,0.1598226039469614,0.0,0.3880159485428789,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.1092734293081783,0.1092734293081783,0.0,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,random,8,13,2,0.4649343786404189,0.9045876233943628,0.0,0.0,0.0,0.0,0.11520966029200642,0.0,-0.4396532447539439,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.01102149863186841,0.01102149863186841,0.0,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,oracle,8,13,6,0.9156091220262312,0.9156091220262312,0.0,0.0,0.0,0.0,0.18822078729813144,0.0,0.0,0.5515229351267057,0.7837338777279703,0.9156091220262312,0.0,0.0,0.0,oracle_upper_bound,True,True,eval_oracle,-1,0
A_controlled_object_binding,good,raw,16,13,8,0.6875080580901555,0.8542247371560405,0.0,0.0,0.0,0.0,0.20045394342408784,0.0,-0.16671667906588505,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.053948275048512406,0.053948275048512406,-0.33771591758849234,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,identity_consistent,16,13,8,0.8877560580901556,0.8542247371560405,0.0,0.0,0.0,0.0,0.20045394342408784,0.0,0.03353132093411504,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.053948275048512406,0.053948275048512406,-0.33771591758849234,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,16,13,5,0.6312463517177752,0.7892882531922403,0.0,0.0,0.0,0.0,0.11507925261144221,0.0,-0.15804190147446506,0.5308295491575661,0.8401829087084316,0.9081730122045529,0.11888475901231266,0.11888475901231266,-0.33771591758849234,deployable_no_leak,False,False,fixed_predeclared,-1,0
